ID;URL;VERSIONS;FLAG;COMMITS;COMMENTS
CVE-2011-1772;https://github.com/apache/struts;2.2.2:2.2.3;False;885ab3459e146ff830d1f7257f809f4a3dd4493a; vulnerable tag is fixed
CVE-2012-0881;https://github.com/apache/xerces2-j;2.11.0:2.12.0;False;992b5d9c24102ad20330d36c0a71162753a37449;
CVE-2012-4386;https://github.com/apache/struts;2.3.4:2.3.5;False;a1ca307981b0930d1687ed89f0b7305af79da0f3,1081c52be93abfd2f33ba8453c676e3edcedec8b; one commit outside time interval, other not included in the tag, use STRUTS_2_3_4_1
CVE-2013-2035;https://github.com/fusesource/hawtjni;1.7:1.8;False;92c266170ce98edc200c656bd034a237098b8aa5;
CVE-2013-2115;https://github.com/apache/struts;2.3.14.1:2.3.14.2;False;fed4f8e8a4ec69b5e7612b92d8ce3e476680474b,d7804297e319c7a12245e1b536e565fcea6d6503;
CVE-2013-2134;https://github.com/apache/struts;2.3.14.2:2.3.14.3;False;54e5c912ebd9a1599bfcf7a719da17c28127bbe3,01e6b251b4db78bfb7971033652e81d1af4cb3e0,cfb6e9afbae320a4dd5bdd655154ab9fe5a92c16,711cf0201cdd319a38cf29238913312355db29ba;
CVE-2013-2135;https://github.com/apache/struts;2.3.14.2:2.3.14.3;False;54e5c912ebd9a1599bfcf7a719da17c28127bbe3,01e6b251b4db78bfb7971033652e81d1af4cb3e0,cfb6e9afbae320a4dd5bdd655154ab9fe5a92c16,711cf0201cdd319a38cf29238913312355db29ba;
CVE-2013-4002;https://github.com/apache/xerces2-j;2.11.0:2.12.0;False;266e837852e0f0e3c8c1ad572b6fc4dbb4ded17b;
CVE-2013-4152;https://github.com/spring-projects/spring-framework;3.2.3:3.2.4;False;7576274874deeccb6da6b09a8d5bd62e8b5538b7,434735fbf6e7f9051af2ef027657edb99120b173,2c030d4dcf4866bccc7a59d47398d6bc0de52ce2,3515acfa3db84bb62ef8ef8794a214c0d55fd47e;
CVE-2013-4286;https://github.com/apache/tomcat80;TOMCAT_8_0_0_RC1:TOMCAT_8_0_0_RC4;False;f0a7dc325201131ed31211c503c3a23714d8244f,bcce3e4997a4ed06fe03e2517443f3ad8ade2dfa,41b90b6ebc3e7f898a5a87d197ddf63790d33315; the two last commits were from tomcat standard repo, not tomcat80. Also not included in RC3 and RC2 is already fixed.
CVE-2013-4316;https://github.com/apache/struts;2.3.15.1:2.3.15.2;False;58947c3f85ae641c1a476316a2888e53605948d1;
CVE-2013-6348;https://github.com/apache/struts;STRUTS_2_3_15_3:STRUTS_2_3_16;False;fd27e5cc748420a53d51e0e19a10efe8c582c2c0,01584fabc74635d63a1b2670f18d8fcd1ee046cc;
CVE-2013-6429;https://github.com/spring-projects/spring-framework;3.2.4:3.2.5;False;2ae6a6a3415eebc57babcb9d3e5505887eda6d8a,7387cb990e35b0f1b573faf29d4f9ae183d7a5ef;
CVE-2013-6430;https://github.com/spring-projects/spring-framework;3.2.1:3.2.2;False;f5c9fe69a444607af667911bd4c5074b5b073e7b,7a7df6637478607bef0277bf52a4e0a03e20a248;
CVE-2013-7315;https://github.com/frankneusource/spring-framework;3.2.3:3.2.4;False;7576274874deeccb6da6b09a8d5bd62e8b5538b7,434735fbf6e7f9051af2ef027657edb99120b173;
CVE-2013-7397;https://github.com/AsyncHttpClient/async-http-client;1.8.0:1.9.0;False;df6ed70e86c8fc340ed75563e016c8baa94d7e72,dfacb8e05d0822c7b2024c452554bd8e1d6221d8;
CVE-2013-7398;https://github.com/AsyncHttpClient/async-http-client;1.8.0:1.9.0;False;a894583921c11c3b01f160ada36a8bb9d5158e96,bbdc1b3cc6ffc0eda0dd0ad54557db557ae937f7,fa056c572ab0c9b6edd05a7cc508898f35cc90d5,db6716ad2f10f5c2d5124904725017b2ba8c3434,3c9152e2c75f7e8b654beec40383748a14c6b51b;
CVE-2014-0097;https://github.com/spring-projects/spring-security;3.1.5:3.1.6;False;88559882e967085c47a7e1dcbc4dc32c2c796868,a7005bd74241ac8e2e7b38ae31bc4b0f641ef973,7dbb8e777ece8675f3333a1ef1cb4d6b9be80395;
CVE-2014-0116;https://github.com/apache/struts;2.3.19:2.3.20;False;1a668af7f1ffccea4a3b46d8d8c1fe1c7331ff02; vulnerable tag is fixed
CVE-2014-0193;https://github.com/netty/netty;4.0.18:4.0.19;False;48edb7802b42b0e2eb5a55d8eca390e0c9066783,787a85f9f1b816ee901c1ec00348ae2007bb9d3b,8599ab5bdb761bb99d41a975d689f74c12e4892b,73b26b7c2598f36196b760ec590eefd37c8db62a,dfbd8e881980677bc21b5a53b80c8555061ffa84,cab1fa22ff43f604cc11631d5fccfa3e9231399a,93fab1d5a3a45a8104e560118930c1d652dce8cb;
CVE-2014-0225;https://github.com/spring-projects/spring-framework;3.2.8:3.2.9;False;44ee51a6c9c3734b3fcf9a20817117e86047d753,c6503ebbf7c9e21ff022c58706dbac5417b2b5eb,8e096aeef55287dc829484996c9330cf755891a1;
CVE-2014-1904;https://github.com/spring-projects/spring-framework;4.0.1:4.0.2;False;741b4b229ae032bd17175b46f98673ce0bd2d485;
CVE-2014-3488;https://github.com/netty/netty;3.9.1:3.9.2;False;2fa9400a59d0563a66908aba55c41e7285a04994;
CVE-2014-3576;https://github.com/apache/activemq;5.10.0:5.11.0;False;00921f22ff9a8792d7663ef8fadd4823402a6324;
CVE-2014-3578;https://github.com/spring-projects/spring-framework;4.0.4:4.0.5;False;8ee465103850a3dca018273fe5952e40d5c45a66,748167bfa33c3c69db2d8dbdc3a0e9da692da3a0,f6fddeb6eb7da625fd711ab371ff16512f431e8d;
CVE-2014-3625;https://github.com/spring-projects/spring-framework;4.1.1:4.1.2;False;3f68cd633f03370d33c2603a6496e81273782601,9cef8e3001ddd61c734281a7556efd84b6cc2755,9beae9ae4226c45cd428035dae81214439324676;
CVE-2014-4172;https://github.com/apereo/java-cas-client;3.3.1:3.3.2;False;ab6cbdc3daa451b4fef89c0bd0f4e6568f3aa9ef,9de2be91a2ed4f013900cb1facd4036c2f34d051,ae37092100c8eaec610dab6d83e5e05a8ee58814;
CVE-2014-7809;https://github.com/apache/struts;2.3.19:2.3.20;False;1f301038a751bf16e525607c3db513db835b2999;
CVE-2015-2156;https://github.com/netty/netty;3.9.7.Final:3.9.8.Final;False;97d871a7553a01384b43df855dccdda5205ae77a,d98b21be045a315ced88ada84000e4757cfb9892;
CVE-2015-2912;https://github.com/orientechnologies/orientdb;2.1.0:2.1.1;False;f11dbced94cb587f445cb99db08735c023921053,d5a45e608ba8764fd817c1bdd7cf966564e828e9,5dbd6035e4e59259f3e08ba8f1218785f36d1d2d;
CVE-2015-2913;https://github.com/orientechnologies/orientdb;2.1.0:2.1.1;False;7a5f61527343eae30ee0e5dfdcae60da412c69c3,668ece96be210e742a4e2820a3085b215cf55104;
CVE-2015-3192;https://github.com/spring-projects/spring-framework;4.1.6:4.1.7;False;d79ec68db40c381b8e205af52748ebd3163ee33b,9c3580d04e84d25a90ef4c249baee1b4e02df15e,5a711c05ec750f069235597173084c2ee7962424;
CVE-2015-3208;https://github.com/apache/activemq-artemis;None:None;False;48d9951d879e0c8cbb59d4b64ab59d53ef88310d;
CVE-2015-3253;https://github.com/apache/groovy;2.4.3:2.4.4;False;4a96e70f6315d3b28fc6f878e4d59dfba585a179,4df8b652aa018a5d5d1cda8fba938bf3422db31c,09e9778e8a33052d8c27105aee5310649637233d,716d3e67e744c7edeed7cbc3f874090d39355764;
CVE-2015-5254;https://github.com/apache/activemq;5.12.0:5.13.0;False;e7a4b53f799685e337972dd36ba0253c04bcc01f,6f03921b31d9fefeddb0f4fa63150ed1f94a14b1,a7e2a44fe8d4435ae99532eb0ab852e6247f7b16,e100638244c4ca5eb2a1f16bcdc671c9859c2694;
CVE-2015-5344;https://github.com/apache/camel;2.16.0:2.16.1;False;157c0b4a3c8017de432f1c99f83e374e97dc4d36,4cdc6b177ee7391eedc9f0b695c05d56f84b0812,b7afb3769a38b8e526f8046414d4a71430d77df0,369d0a6d605055cb843e7962b101e3bbcd113fec,8386d8f7260143802553bc6dbae2880d6c0bafda,4491c080cb6c8659fc05441e49307b7d4349aa56;
CVE-2015-6748;https://github.com/jhy/jsoup;1.8.2:1.8.3;False;4edb78991f8d0bf87dafde5e01ccd8922065c9b2,b86beca8feb26f9a3181e87fe36382f8ab4bdb98;
CVE-2016-3720;https://github.com/FasterXML/jackson-dataformat-xml;None:None;False;f0f19a4c924d9db9a1e2830434061c8640092cc0;
